,states,Long Run Prob
0,"('comedy', 'normal')",(0.19229807451862965+0j)
6,"('pets', 'normal')",(0.15041260315078772+0j)
2,"('music', 'normal')",(0.13503375843960994+0j)
5,"('comedy', 'fast')",(0.1297824456114029+0j)
7,"('pets', 'fast')",(0.09639909977494375+0j)
1,"('music', 'fast')",(0.08164541135283819+0j)
4,"('music', 'slow')",(0.07789447361840457+0j)
3,"('comedy', 'slow')",(0.06714178544636164+0j)
10,"('pets', 'slow')",(0.04513628407101771+0j)
9,"('comedy', 'zombie')",(0.012753188297074282+0j)
11,"('pets', 'zombie')",(0.006376594148537126+0j)
8,"('music', 'zombie')",(0.005126281570392599+0j)
